merged_symbol	merged_geneid	replaced_geneid	replaced_discontinued_geneid	replaced_discontinued_symbol	replaced_date	GeneID	Discontinued_GeneID	Discontinued_Symbol	Discontinue_Date
ADCY10	55811	55811	59334	HCA2	20050510				
ADCY10	55811	55811	82259	LOC82259	20050510				
ADCY10P1	221442	221442	100131658	LOC100131658	20090225				
ADCY10P1	221442	221442	653694	LOC653694	20060511				
ADCY10P1	221442	221442	654172	LOC654172	20060323				
ADCY2	108	108	254679	ADCY2	20050510				
ADCY3	109	109	23343	KIAA0511	20050510				
ADCY3	109	109	9608	AC3	20050510				
ADCY4	196883	196883	110	ADCY4	20050510				
ADCY5	111	111	255218	LOC255218	20050510				
ADCY6	112	112	23320	KIAA0422	20050510				
ADD2	119	119	130935	LOC130935	20050510				
ADD3	120	120	121	ADDL	20050510				
ADGB	79747	79747	645793	LOC645793	20060512				
ADGB	79747	79747	652019	LOC652019	20060512				
ADH5	128	128	2223	FDH	20050510				
ADH5P2	343296	343296	100422068	LOC100422068	20100817				
ADH5P2	343296	343296	369013	ADH5P2	20081008				
ADH5P3	100131810	100131810	100422077	LOC100422077	20100813				
ADH5P3	100131810	100131810	369014	ADH5P3	20081025				
ADH5P4	642443	642443	112927	LOC112927	20050510				
ADH5P4	642443	642443	116246	LOC116246	20050510				
ADH5P4	642443	642443	154434	LOC154434	20050510				
ADH5P4	642443	642443	285802	ADH5P4	20080725				
ADH5P4	642443	642443	82925	LOC82925	20050510				
ADH5P4	642443	642443	92600	LOC92600	20050510				
ADIPOQ	9370	9370	49852	APM-1	20050510				
ADIPOR1	51094	51094	95409	LOC95409	20050510				
ADIPOR1P1	645220	645220	650390	LOC650390	20070619				
ADIPOR2	79602	79602	84751	MGC4640	20050510				
ADM	133	133	119799	LOC119799	20050510				
ADNP	23394	23394	256440	LOC256440	20050510				
ADNP2	22850	22850	100506109	LOC100506109	20101216				
ADORA2A-AS1	646023	646023	649503	LOC649503	20060312				
ADORA2BP1	137	137	100419659	LOC100419659	20100814				
ADPGK-AS1	100287559	100287559	100289752	LOC100289752	20100430				
ADPGK-AS1	100287559	100287559	100292878	LOC100292878	20100430				
ADRA1D	146	146	149	ADRA1D	20050504				
ADRA2A	150	150	113789	LOC113789	20050510				
ADRA2A	150	150	92480	LOC92480	20050510				
ADRB3	155	155	157462	LOC157462	20050510				
ADRB3	155	155	82943	LOC82943	20050510				
ADRB3	155	155	93139	LOC93139	20050510				
ADRB3	155	155	94406	LOC94406	20050510				
AEN	64782	64782	339029	LOC339029	20050505				
AFAP1-AS1	84740	84740	254848	LOC254848	20070928				
AFAP1L2	84632	84632	114802	KIAA1914	20050510				
AFF1	4299	4299	5085	PBM1	20050509				
AFF1	4299	4299	83116	LOC83116	20050510				
AFG3L1P	172	172	400563	FLJ45200	20050509				
AFG3L2	10939	10939	573970	SCA28	20100707				
AFG3L2P1	347028	347028	619417	AFG3L2P1	20100218				
AGAP1	116987	116987	22851	KIAA1099	20050510				
AGAP1-IT1	100506749	100506749	100509892	LOC100509892	20110803				
AGAP2	116986	116986	65219	PIKE	20050502				
AGAP2	116986	116986	9809	KIAA0167	20050509				
AGAP3	116988	116988	100134082	LOC100134082	20090311				
AGAP3	116988	116988	83883	MRIP-1	20050509				
AGAP4	119016	119016	414182	CTGLF1	20050503				
AGAP4	119016	119016	414187	CTGLF5	20061115				
AGAP4	119016	119016	728404	AGAP8	20140408				
AGAP5	729092	729092	118704	LOC118704	20050825				
AGAP5	729092	729092	414190	CTGLF2	20050825				
AGAP5	729092	729092	439983	CTGLF2	20061114				
AGAP7	653268	653268	414188	CTGLF4	20061115				
AGAP7	653268	653268	439975	CTGLF4	20061115				
AGAP9	642517	642517	414186	CTGLF6	20061115				
AGAP9	642517	642517	642501	LOC642501	20060708				
AGBL1	123624	123624	283737	LOC283737	20170627				
AGBL1	123624	123624	493823	AGBL1	20070118				
AGBL1	123624	123624	728206	LOC728206	20061228				
AGBL1-AS1	727915	727915	731148	LOC731148	20070619				
AGBL3	340351	340351	79914	FLJ12983	20050510				
AGFG1	3267	3267	285086	LOC285086	20080925				
